Tag,Walze A,Walze B,Walze C,Ringstelung A,Ringstellung B,Ringstellung C,UKW 1,UKW 2,UKW 3,UKW 4,UKW 5,UKW 6,UKW 7,UKW 8,UKW 9,UKW 10,UKW 11,UKW 12,SB 1,SB 2,SB 3,SB 4,SB 5,SB 6,SB 7,SB 8,SB 9,SB 10,KG 1,KG 2,KG 3,KG 4
31,1,5,3,14,9,24, KM, AX, PZ, OO, DI, CN, BR, PV, LT, EQ, HS, UW,SZ,GT,DV,KU,FO,MY,EW,JN,IX,LQ,wny,dgy,ekb,rzg
30,4,3,2,5,26,2,KM,AX,PZ,OO,DI,CN,BR,PV,LT,WQ,HS,UW,IS,EV,MX,RW,DT,ZU,JQ,AO,CH,NY,ktl,acw,zsi,wao
